dia,VIX,dia_fwd_25,VIX_fwd_25,VIX_change_pts,VIX_change_pct,PnL_fwd_pct_25,PnL_fwd_pts_25,tipo
2022-12-09,22.83,2023-04-26,18.84,-3.9899999999999984,-17.477003942181334,-356.37,-109.05,DESASTRE
2022-10-26,27.28,2023-06-05,14.73,-12.55,-46.00439882697947,-602.88,-193.825,DESASTRE
2022-08-26,25.56,2023-04-26,18.84,-6.719999999999999,-26.29107981220657,-184.67,-69.25,DESASTRE
2022-08-24,22.82,2023-01-12,18.83,-3.990000000000002,-17.484662576687125,-81.48,-9.9,DESASTRE
2021-02-11,21.25,2021-06-09,17.89,-3.3599999999999994,-15.81176470588235,-169.13,-19.45,DESASTRE
2022-09-01,25.56,2023-05-01,16.08,-9.48,-37.08920187793427,-284.2,-95.775,DESASTRE
2022-10-12,33.57,2023-01-17,19.36,-14.21,-42.32946082812035,-987.78,-44.45,DESASTRE
2023-10-03,19.78,2024-02-20,15.42,-4.360000000000001,-22.042467138523765,-325.53,-7.65,DESASTRE
2022-11-17,23.93,2023-03-22,22.26,-1.6699999999999982,-6.978687839531961,-387.59,-106.975,DESASTRE
2022-10-20,29.98,2023-08-09,15.96,-14.02,-46.764509673115406,-58.27,-11.45,DESASTRE
2022-09-01,25.56,2023-01-19,20.52,-5.039999999999999,-19.718309859154928,-270.46,-49.9,DESASTRE
2022-08-30,26.21,2023-01-17,19.36,-6.850000000000001,-26.135062953071355,-91.59,-29.95,DESASTRE
2023-02-08,19.63,2023-04-28,15.78,-3.8499999999999996,-19.612837493632195,-104.73,-7.75,DESASTRE
2022-10-12,33.57,2023-02-27,20.95,-12.620000000000001,-37.5930890676199,-180.74,-55.85,DESASTRE
2020-08-28,22.96,2020-11-10,24.8,1.8399999999999999,8.013937282229964,-45.31,-8.7,DESASTRE
2023-02-13,20.34,2023-06-08,13.65,-6.6899999999999995,-32.89085545722713,-75.79,-29.9,DESASTRE
2023-01-24,19.2,2023-05-25,19.14,-0.05999999999999872,-0.31249999999999334,-84.85,-28.0,DESASTRE
2022-08-16,19.69,2023-04-19,16.46,-3.2300000000000004,-16.404266124936516,-122.68,-33.675,DESASTRE
2022-09-30,31.62,2023-02-17,20.02,-11.600000000000001,-36.68564199873498,-124.66,-36.4,DESASTRE
2021-02-22,23.45,2021-06-21,17.89,-5.559999999999999,-23.710021321961616,-91.58,-26.1,DESASTRE
2022-09-15,26.27,2023-02-08,19.63,-6.640000000000001,-25.275980205557673,-281.4,-84.7,DESASTRE
2022-09-08,23.61,2023-05-03,18.34,-5.27,-22.321050402371874,-376.97,-112.15,DESASTRE
2022-10-14,32.02,2023-02-22,22.29,-9.730000000000004,-30.38725796377265,-233.4,-84.375,DESASTRE
2022-09-08,23.61,2023-01-23,19.81,-3.8000000000000007,-16.09487505294367,-147.49,-46.975,DESASTRE
2022-10-12,33.57,2023-01-24,19.2,-14.370000000000001,-42.80607685433423,-353.97,-75.75,DESASTRE
2022-12-21,20.07,2023-04-04,19.0,-1.0700000000000003,-5.331340308918786,-1265.77,-70.25,DESASTRE
2023-03-03,18.49,2023-06-28,13.43,-5.059999999999999,-27.366143861546778,-37.19,-7.4,DESASTRE
2022-10-14,32.02,2023-02-15,18.23,-13.790000000000003,-43.06683322923173,-222.38,-86.95,DESASTRE
2022-11-28,22.21,2023-04-05,19.08,-3.1300000000000026,-14.092751013057192,-638.43,-120.025,DESASTRE
2024-03-20,13.04,2024-08-09,20.37,7.330000000000002,56.21165644171781,-734.81,-49.6,DESASTRE
2023-01-19,20.52,2023-04-05,19.08,-1.4400000000000013,-7.0175438596491295,-75.35,-8.1,DESASTRE
2022-09-30,31.62,2023-01-18,20.34,-11.280000000000001,-35.673624288425046,-270.16,-42.55,DESASTRE
2022-08-11,20.2,2023-06-22,12.91,-7.289999999999999,-36.089108910891085,-42.64,-9.7,DESASTRE
2022-11-29,21.89,2023-04-06,18.4,-3.490000000000002,-15.943353129282785,-337.84,-117.4,DESASTRE
2022-10-20,29.98,2023-02-17,20.02,-9.96,-33.22214809873249,-834.66,-115.6,DESASTRE
2023-01-24,19.2,2023-04-24,16.89,-2.3099999999999987,-12.031249999999993,-66.67,-12.1,DESASTRE
2023-02-15,18.23,2023-05-16,17.99,-0.240000000000002,-1.3165112452002303,-238.83,-32.6,DESASTRE
2022-12-21,20.07,2023-04-24,16.89,-3.1799999999999997,-15.844544095665169,-571.84,-94.925,DESASTRE
2023-02-17,20.02,2023-05-10,16.94,-3.0799999999999983,-15.384615384615378,-156.91,-22.125,DESASTRE
2023-02-03,18.33,2023-05-09,17.71,-0.6199999999999974,-3.3824331696671983,-32.51,-4.6,DESASTRE
2021-02-11,21.25,2021-06-09,17.89,-3.3599999999999994,-15.81176470588235,-118.89,-34.3,DESASTRE
2022-10-20,29.98,2023-08-09,15.96,-14.02,-46.764509673115406,-181.27,-64.35,DESASTRE
2023-02-15,18.23,2023-06-09,13.83,-4.4,-24.136039495337357,-61.78,-24.25,DESASTRE
2024-12-17,15.87,2025-03-07,23.37,7.500000000000002,47.25897920604916,-43.0,-5.525,DESASTRE
2022-11-30,20.58,2023-03-07,19.59,-0.9899999999999984,-4.81049562682215,-338.57,-79.225,DESASTRE
2023-01-23,19.81,2023-05-19,16.81,-3.0,-15.143866733972741,-116.87,-33.6,DESASTRE
2022-12-05,20.75,2023-09-06,14.45,-6.300000000000001,-30.361445783132535,-67.84,-26.9,DESASTRE
2023-02-27,20.95,2023-05-22,17.21,-3.7399999999999984,-17.85202863961813,-114.55,-31.5,DESASTRE
2021-12-20,22.87,2022-03-07,36.45,13.580000000000002,59.379099256668134,-70.62,-18.15,DESASTRE
2022-10-14,32.02,2023-01-03,22.9,-9.120000000000005,-28.48219862585885,-179.01,-29.0,DESASTRE
2023-01-24,19.2,2023-05-19,16.81,-2.3900000000000006,-12.44791666666667,-78.65,-27.45,DESASTRE
2022-08-16,19.69,2023-06-23,13.44,-6.250000000000002,-31.742001015744037,-237.86,-20.575,DESASTRE
2024-03-28,13.01,2024-08-15,15.23,2.2200000000000006,17.063797079169873,-383.97,-70.65,DESASTRE
2022-12-09,22.83,2023-09-12,14.23,-8.599999999999998,-37.66973280770915,-96.24,-34.55,DESASTRE
2023-08-24,17.2,2024-01-16,13.84,-3.3599999999999994,-19.534883720930228,-198.03,-55.25,DESASTRE
2022-08-15,19.95,2023-06-22,12.91,-7.039999999999999,-35.288220551378444,-147.14,-16.7,DESASTRE
2023-01-17,19.36,2023-05-19,16.81,-2.5500000000000007,-13.17148760330579,-183.11,-48.25,DESASTRE
2023-03-07,19.59,2023-05-26,17.95,-1.6400000000000006,-8.371618172537012,-254.91,-28.55,DESASTRE
2025-01-13,19.19,2025-05-15,17.83,-1.360000000000003,-7.087024491922891,-22.01,-7.9,DESASTRE
2021-02-25,28.89,2021-06-23,16.32,-12.57,-43.509865005192104,-104.46,-29.25,DESASTRE
2024-03-19,13.82,2024-08-08,23.79,9.969999999999999,72.14182344428363,-135.88,-46.2,DESASTRE
2022-10-14,32.02,2023-01-12,18.83,-13.190000000000005,-41.193004372267346,-479.13,-55.1,DESASTRE
2024-04-05,16.03,2024-09-12,17.07,1.0399999999999991,6.487835308796002,-239.59,-75.95,DESASTRE
2022-11-02,25.86,2023-03-22,22.26,-3.599999999999998,-13.921113689095119,-527.64,-142.2,DESASTRE
2024-03-15,14.41,2024-08-08,23.79,9.379999999999999,65.09368494101318,-106.17,-41.3,DESASTRE
2025-01-06,16.04,2025-03-27,18.69,2.650000000000002,16.521197007481312,-92.86,-3.25,DESASTRE
2022-11-01,25.81,2023-06-08,13.65,-12.159999999999998,-47.11352189074002,-445.81,-178.1,DESASTRE
2022-10-20,29.98,2023-03-03,18.49,-11.490000000000002,-38.32555036691128,-416.83,-106.5,DESASTRE
2022-12-30,21.67,2023-05-19,16.81,-4.860000000000003,-22.427318874019395,-235.05,-86.5,DESASTRE
2023-07-06,15.44,2023-11-14,14.16,-1.2799999999999994,-8.290155440414503,-39.75,-11.35,DESASTRE
2023-01-19,20.52,2023-04-05,19.08,-1.4400000000000013,-7.0175438596491295,-117.19,-11.25,DESASTRE
2022-10-26,27.28,2023-08-11,14.84,-12.440000000000001,-45.60117302052787,-122.05,-44.975,DESASTRE
2024-04-02,14.61,2024-09-10,19.08,4.469999999999999,30.595482546201225,-283.84,-84.3,DESASTRE
2023-01-10,20.58,2023-04-17,16.95,-3.629999999999999,-17.638483965014572,-148.12,-59.1,DESASTRE
2023-01-03,22.9,2023-04-05,19.08,-3.8200000000000003,-16.681222707423583,-278.43,-76.15,DESASTRE
2024-12-17,15.87,2025-07-09,15.94,0.07000000000000028,0.4410838059231272,-155.31,-32.15,DESASTRE
2022-10-12,33.57,2022-12-30,21.67,-11.899999999999999,-35.448316949657425,-48.51,-17.85,DESASTRE
2023-09-21,17.54,2024-02-06,13.06,-4.479999999999999,-25.541619156214363,-250.6,-31.2,DESASTRE
2022-11-30,20.58,2023-03-22,22.26,1.6800000000000033,8.163265306122465,-326.4,-99.225,DESASTRE
2023-01-11,21.09,2023-04-17,16.95,-4.140000000000001,-19.63015647226174,-165.71,-49.3,DESASTRE
2022-12-30,21.67,2023-04-05,19.08,-2.5900000000000034,-11.95200738347948,-319.03,-78.8,DESASTRE
2023-08-18,17.3,2023-12-18,12.56,-4.74,-27.398843930635834,-153.64,-36.95,DESASTRE
2023-01-23,19.81,2023-06-12,15.01,-4.799999999999999,-24.230186774356383,-38.88,-11.45,DESASTRE
2025-01-14,18.71,2025-05-16,17.24,-1.4700000000000024,-7.856761090326042,-33.59,-11.0,DESASTRE
