Variable,Avg_Pearson_r,Avg_Spearman_r,Combined_Score
DTE2,0.13525814221742583,0.12029061699767403,0.12777437960754992
DTE_avg,0.136425122150301,0.1049466934187043,0.12068590778450265
DTE_sum,0.136425122150301,0.1049466934187043,0.12068590778450265
DTE_diff,0.1110411478708076,0.12535165317073524,0.11819640052077142
DTE_ratio,0.08429201439299527,0.10391588963848344,0.09410395201573936
DTE1,0.12724145909712142,0.05937094626874338,0.09330620268293241
