Quintil,N,PnL_25_media,PnL_50_media,Incremento_25_a_50,Mejor_cerrar_en_25
Q1 (Más deteriorado),1114,-28.698653500897667,-13.19665619389587,15.501997307001794,False
Q2,1113,4.111388140161726,29.089779874213836,24.978391734052114,False
Q3,1114,16.416561938958708,41.593020646319566,25.17645870736086,False
Q4,1112,31.353125000000002,52.10173111510792,20.748606115107915,False
Q5 (Mejor),1113,60.31185983827494,83.44721473495058,23.135354896675654,False
