Rango,VIX_min,VIX_max,Count,Pct,FWD_01_mean,FWD_01_median,FWD_01_std,FWD_01_winrate,FWD_05_mean,FWD_05_median,FWD_05_std,FWD_05_winrate,FWD_25_mean,FWD_25_median,FWD_25_std,FWD_25_winrate,FWD_50_mean,FWD_50_median,FWD_50_std,FWD_50_winrate,FWD_90_mean,FWD_90_median,FWD_90_std,FWD_90_winrate
MUY BAJO (0-15),0,15,4421,18.516501926620872,1.3484618864510292,0.95,7.4993601656309625,57.588780818819274,3.871330015833522,3.5,18.181701609978028,58.38045691020132,28.677770866319836,11.6,56.90443161675541,63.94480886677222,74.29986870374792,62.3,88.48907326509648,73.39968332956344,,,,0.0
BAJO (15-20),15,20,10239,42.88406768302898,0.4560434995112415,0.1,10.473542807140218,50.28811407364,6.238728224701507,3.7,22.037055211126116,56.861021584139074,40.129294853012986,34.05,55.85521541172373,72.85867760523489,56.44890881830298,36.8125,85.08797560735808,65.03564801250123,0.9642105263157876,-2.08,39.76429544701705,0.08789920890711983
MEDIO (20-30),20,30,7381,30.91388842352153,0.8233993488876831,0.05,12.523923334678049,50.00677414984419,5.647303622303622,1.5,29.561726596742083,51.71385991058122,23.669827936593958,12.275,77.42232871834153,57.40414577970465,44.85887431928919,29.9375,141.41901603025923,57.18737298469042,,,,0.0
ALTO (30-40),30,40,1341,5.61651867984587,4.749383868558626,3.4,16.271672712416773,60.25354213273676,18.38767710663684,15.95,26.540494925442765,75.68978374347502,42.7561894108874,32.2,76.95594309179558,65.92095451155853,77.95696689761355,52.85,140.15665531553242,66.51752423564504,,,,0.0
MUY ALTO (40-60),40,60,368,1.541296699614676,10.105842391304348,8.5,18.710824555734398,72.82608695652173,37.91365489130435,37.45,32.83693910076392,82.06521739130434,140.28804347826087,124.44999999999999,77.7661023109758,100.0,213.63005865102642,197.0,89.8179595135239,92.66304347826086,,,,0.0
EXTREMO (>60),60,200,102,0.42720723739319816,-6.527205882352942,-11.3,33.710086795632456,39.21568627450981,11.604656862745097,11.3,28.12459718752073,66.66666666666666,107.33970588235292,104.6,44.769132526109566,100.0,176.80588235294118,180.14999999999998,75.51532466731362,99.01960784313727,,,,0.0
