Variable,Avg_Pearson_r,Avg_Spearman_r,Combined_Score
theta_total,0.1713737711678055,0.20874697974398204,0.19006037545589377
PnLDV,0.13715797224242182,0.18021845902598904,0.15868821563420543
BQI_ABS,0.10654168728588341,0.13335157572013637,0.11994663150300988
RATIO_UEL_EARS,0.04445072719694065,0.08718185669502299,0.06581629194598182
delta_total,0.03260653431159241,0.07811767901793007,0.05536210666476124
EarScore,0.08103275814715918,0.0158310477942174,0.04843190297068829
BQI_V2_ABS,0.04276363909063064,0.04316217664655021,0.04296290786859043
RATIO_BATMAN,0.02024950020680625,0.02316040402810914,0.021704952117457696
