Escenario,Count,VIX_inicial,FWD_01_mean,FWD_01_winrate,FWD_05_mean,FWD_05_winrate,FWD_25_mean,FWD_25_winrate,FWD_50_mean,FWD_50_winrate,FWD_90_mean,FWD_90_winrate
CAÍDA FUERTE (>10%),9106,24.841814188447177,1.3754343523202113,50.91148693169338,8.541674920215694,56.56709861629695,34.9937101910828,62.892598286843835,56.11397716572505,59.75181199209313,9.846666666666666,0.021963540522732264
CAÍDA MODERADA (5-10%),1435,19.65234843205575,0.9721254355400697,51.707317073170735,6.009595254710398,55.54006968641115,33.945627177700345,67.38675958188153,54.01699159021407,64.11149825783971,-16.80333333333333,0.06968641114982578
ESTABLE (±5%),2737,19.23127146510778,0.9634650567142334,52.83156740957252,6.425448061448428,56.960175374497624,35.1158019729631,69.60175374497625,57.83421373425437,65.03470953598831,33.225,0.14614541468761416
SUBE MODERADO (5-10%),1240,18.368572580645164,0.13681451612903228,49.112903225806456,5.327419354838709,56.774193548387096,34.95993951612903,69.2741935483871,62.27426601423488,67.98387096774194,,0.0
SUBE FUERTE (>10%),9305,16.78382160128963,0.9994651112783571,54.336378291241274,5.5366315336631535,57.796883396023645,34.76087049973133,68.75873186458892,66.31726379574067,69.43578721117679,-10.412222222222223,0.021493820526598602
