,pearson,spearman,n_samples
FWD_01,0.05517409351523816,0.0057531934308400635,23832.0
FWD_05,0.16105031918498905,0.07246156598537463,23821.0
FWD_25,0.12352782504454678,0.02262515745972779,23852.0
FWD_50,0.09610029975453638,-0.04930276652420474,21913.0
FWD_90,,,19.0
