Rango,Count,VIX_mean,FWD_01_mean,FWD_01_median,FWD_01_WR,FWD_05_mean,FWD_05_median,FWD_05_WR,FWD_25_mean,FWD_25_median,FWD_25_WR,FWD_50_mean,FWD_50_median,FWD_50_WR,FWD_90_mean,FWD_90_median,FWD_90_WR
BAJO (15-20),377,18.86477453580902,-4.024403183023873,-3.65,28.647214854111407,-18.91651193633952,-20.35,3.978779840848806,-4.382559681697613,-4.4,45.62334217506631,28.69263925729443,34.6,78.51458885941645,,,0
MEDIO (20-30),3336,24.76346822541966,-0.1295837090471897,-1.3,46.43823264201984,-2.9951593505712566,-11.725,30.246542393265187,-27.96839028776978,-22.2375,28.117505995203835,-33.72664810355208,-53.2625,33.59422034918724,,,0
ALTO (30-40),667,32.222773613193404,6.67233082706767,8.85,66.3157894736842,19.31446776611694,19.2,72.41379310344827,-7.105434782608695,-10.6,37.48125937031484,-14.539624060150373,-27.225,39.097744360902254,,,0
