Decil,PnL_25,PnL_50,Incremento,Decisión
D1,-49.89986535008976,-31.620152603231595,18.279712746858166,MANTENER hasta 50
D2,-7.497441651705565,5.226840215439856,12.724281867145422,MANTENER hasta 50
D3,1.585278276481149,27.970915619389586,26.385637342908435,MANTENER hasta 50
D4,6.642041366906476,30.210656474820144,23.56861510791367,MANTENER hasta 50
D5,12.355170863309354,41.365107913669064,29.00993705035971,MANTENER hasta 50
D6,20.463396057347673,41.820116487455195,21.356720430107526,MANTENER hasta 50
D7,26.847252252252254,50.21806306306306,23.37081081081081,MANTENER hasta 50
D8,35.84281867145422,53.978635547576296,18.13581687612208,MANTENER hasta 50
D9,47.485791366906476,72.3351618705036,24.84937050359712,MANTENER hasta 50
D10,73.1149012567325,94.53931777378816,21.424416517055654,MANTENER hasta 50
